,location,date,vaccine,total_vaccinations
418,Argentina,2021-05-19,Sinopharm/Beijing,3302123
419,Argentina,2021-05-19,Sputnik V,6034277
420,Argentina,2021-05-20,Oxford/AstraZeneca,1812150
421,Argentina,2021-05-20,Sinopharm/Beijing,3337397
422,Argentina,2021-05-20,Sputnik V,6171116
423,Argentina,2021-05-21,Oxford/AstraZeneca,1821353
424,Argentina,2021-05-21,Sinopharm/Beijing,3415610
425,Argentina,2021-05-21,Sputnik V,6260997
426,Argentina,2021-05-22,Oxford/AstraZeneca,1822877
427,Argentina,2021-05-22,Sinopharm/Beijing,3459601
428,Argentina,2021-05-22,Sputnik V,6315933
429,Argentina,2021-05-23,Oxford/AstraZeneca,1823294
430,Argentina,2021-05-23,Sinopharm/Beijing,3482479
431,Argentina,2021-05-23,Sputnik V,6337912
432,Argentina,2021-05-24,Oxford/AstraZeneca,1824471
433,Argentina,2021-05-24,Pfizer/BioNTech,30
434,Argentina,2021-05-24,Sinopharm/Beijing,3501969
435,Argentina,2021-05-24,Sputnik V,6405620
436,Argentina,2021-05-25,Oxford/AstraZeneca,1846551
437,Argentina,2021-05-25,Sinopharm/Beijing,3505148
438,Argentina,2021-05-25,Sputnik V,6443787
439,Argentina,2021-05-26,Oxford/AstraZeneca,1873409
440,Argentina,2021-05-26,Sinopharm/Beijing,3538731
441,Argentina,2021-05-26,Sputnik V,6536475
442,Argentina,2021-05-27,Oxford/AstraZeneca,1918869
443,Argentina,2021-05-27,Sinopharm/Beijing,3571982
444,Argentina,2021-05-27,Sputnik V,6627198
445,Argentina,2021-05-28,Oxford/AstraZeneca,2011229
446,Argentina,2021-05-28,Sinopharm/Beijing,3600886
447,Argentina,2021-05-28,Sputnik V,6752056
448,Argentina,2021-05-29,Oxford/AstraZeneca,2121156
449,Argentina,2021-05-29,Pfizer/BioNTech,31
450,Argentina,2021-05-29,Sinopharm/Beijing,3610790
451,Argentina,2021-05-29,Sputnik V,6859733
452,Argentina,2021-05-30,Oxford/AstraZeneca,2180277
453,Argentina,2021-05-30,Sinopharm/Beijing,3612407
454,Argentina,2021-05-30,Sputnik V,6927841
455,Argentina,2021-05-31,Oxford/AstraZeneca,2307455
456,Argentina,2021-05-31,Sinopharm/Beijing,3629309
457,Argentina,2021-05-31,Sputnik V,7082804
458,Argentina,2021-06-01,Oxford/AstraZeneca,2456537
459,Argentina,2021-06-01,Sinopharm/Beijing,3642866
460,Argentina,2021-06-01,Sputnik V,7235121
461,Argentina,2021-06-02,CanSino,7
462,Argentina,2021-06-02,Oxford/AstraZeneca,2620081
463,Argentina,2021-06-02,Sinopharm/Beijing,3656011
464,Argentina,2021-06-02,Sputnik V,7367820
465,Argentina,2021-06-03,Oxford/AstraZeneca,2842998
466,Argentina,2021-06-03,Sinopharm/Beijing,3668222
467,Argentina,2021-06-03,Sputnik V,7482374
468,Argentina,2021-06-04,Oxford/AstraZeneca,3148085
469,Argentina,2021-06-04,Sinopharm/Beijing,3684079
470,Argentina,2021-06-04,Sputnik V,7569650
471,Argentina,2021-06-05,Oxford/AstraZeneca,3425832
472,Argentina,2021-06-05,Sinopharm/Beijing,3688757
473,Argentina,2021-06-05,Sputnik V,7614062
474,Argentina,2021-06-06,Oxford/AstraZeneca,3613723
475,Argentina,2021-06-06,Sinopharm/Beijing,3690791
476,Argentina,2021-06-06,Sputnik V,7641505
477,Argentina,2021-06-07,Oxford/AstraZeneca,3893167
478,Argentina,2021-06-07,Sinopharm/Beijing,3700151
479,Argentina,2021-06-07,Sputnik V,7705895
480,Argentina,2021-06-08,Oxford/AstraZeneca,4170638
481,Argentina,2021-06-08,Sinopharm/Beijing,3708261
482,Argentina,2021-06-08,Sputnik V,7790271
483,Argentina,2021-06-09,Moderna,8
484,Argentina,2021-06-09,Oxford/AstraZeneca,4429694
485,Argentina,2021-06-09,Pfizer/BioNTech,32
486,Argentina,2021-06-09,Sinopharm/Beijing,3715056
487,Argentina,2021-06-09,Sputnik V,7896809
488,Argentina,2021-06-10,Moderna,9
489,Argentina,2021-06-10,Oxford/AstraZeneca,4653606
490,Argentina,2021-06-10,Sinopharm/Beijing,3721099
491,Argentina,2021-06-10,Sputnik V,8001944
492,Argentina,2021-06-11,Oxford/AstraZeneca,4837812
493,Argentina,2021-06-11,Sinopharm/Beijing,3731833
494,Argentina,2021-06-11,Sputnik V,8173842
495,Argentina,2021-06-12,Oxford/AstraZeneca,4903825
496,Argentina,2021-06-12,Sinopharm/Beijing,3743914
497,Argentina,2021-06-12,Sputnik V,8280878
498,Argentina,2021-06-13,Oxford/AstraZeneca,4948481
499,Argentina,2021-06-13,Sinopharm/Beijing,3745739
500,Argentina,2021-06-13,Sputnik V,8317080
501,Argentina,2021-06-14,Oxford/AstraZeneca,5075327
502,Argentina,2021-06-14,Sinopharm/Beijing,3756377
